Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
204,tt1392190,2023-04-26,2023-04-26,,"Mad Max: Estrada da Fúria","Mad Max: Fury Road",https://www.imdb.com/title/tt1392190/,Filme,8.1,120,2015,"Ação, Aventura, Ficção científica",1215882,2015-05-14,"George Miller",9,2026-01-02
205,tt1392214,2023-04-26,2023-04-26,,"Os Suspeitos","Prisoners",https://www.imdb.com/title/tt1392214/,Filme,8.2,153,2013,"Policial, Drama, Mistério, Suspense",950673,2013-10-18,"Denis Villeneuve",8,2023-04-26
206,tt0118715,2023-04-26,2023-04-26,,"O Grande Lebowski","The Big Lebowski",https://www.imdb.com/title/tt0118715/,Filme,8.1,117,1998,"Comédia, Policial",921700,1999-07-09,"Joel Coen, Ethan Coen",6,2023-04-26
207,tt10431500,2023-04-26,2023-04-26,,"Milagre na Cela 7","Yedinci Kogustaki Mucize",https://www.imdb.com/title/tt10431500/,Filme,8.2,132,2019,"Drama",63704,2019-10-10,"Mehmet Ada Öztekin",8,2023-04-26
208,tt0457430,2023-04-26,2023-04-26,,"O Labirinto do Fauno","El laberinto del fauno",https://www.imdb.com/title/tt0457430/,Filme,8.2,118,2006,"Drama, Fantasia, Guerra",750825,2006-12-01,"Guillermo del Toro",7,2023-04-26
209,tt0434409,2023-04-26,2023-04-26,,"V de Vingança","V for Vendetta",https://www.imdb.com/title/tt0434409/,Filme,8.1,132,2005,"Ação, Drama, Ficção científica, Suspense",1252785,2006-04-07,"James McTeigue",9,2023-04-26
210,tt0095016,2023-04-26,2023-04-26,,"Duro de Matar","Die Hard",https://www.imdb.com/title/tt0095016/,Filme,8.2,132,1988,"Ação, Suspense",1036153,1988-10-27,"John McTiernan",8,2023-04-26
211,tt0082971,2023-04-26,2023-04-26,,"Os Caçadores da Arca Perdida","Raiders of the Lost Ark",https://www.imdb.com/title/tt0082971/,Filme,8.4,115,1981,"Aventura",1117136,1981-12-25,"Steven Spielberg",10,2023-04-26
212,tt0372784,2023-04-26,2023-04-26,,"Batman Begins","Batman Begins",https://www.imdb.com/title/tt0372784/,Filme,8.2,140,2005,"Policial",1734536,2005-06-17,"Christopher Nolan",7,2023-04-26
213,tt1345836,2023-04-26,2023-04-26,,"Batman: O Cavaleiro das Trevas Ressurge","The Dark Knight Rises",https://www.imdb.com/title/tt1345836/,Filme,8.4,164,2012,"Policial, Suspense",2016992,2012-07-27,"Christopher Nolan",9,2023-04-26
214,tt0468569,2023-04-26,2023-04-26,,"Batman: O Cavaleiro das Trevas","The Dark Knight",https://www.imdb.com/title/tt0468569/,Filme,9.1,152,2008,"Policial, Suspense",3207389,2008-07-18,"Christopher Nolan",10,2023-04-26
215,tt7286456,2023-04-26,2023-04-26,,"Coringa","Joker",https://www.imdb.com/title/tt7286456/,Filme,8.3,122,2019,"Drama",1714789,2019-10-03,"Todd Phillips",9,2023-04-26
