Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
288,tt0816711,2023-11-14,2023-11-14,,"Guerra Mundial Z","World War Z",https://www.imdb.com/title/tt0816711/,Filme,7.0,116,2013,"Ação, Aventura, Terror, Ficção científica",790890,2013-06-28,"Marc Forster",6,2023-11-14
289,tt0109686,2023-11-14,2023-11-14,,"Debi & Lóide: Dois Idiotas em Apuros","Dumb and Dumber",https://www.imdb.com/title/tt0109686/,Filme,7.3,107,1994,"Comédia",446166,1995-02-27,"Peter Farrelly",8,2023-11-14
290,tt0110475,2023-11-14,2023-11-14,,"O Máskara","The Mask",https://www.imdb.com/title/tt0110475/,Filme,7.0,101,1994,"Comédia, Policial, Fantasia",474895,1994-12-23,"Chuck Russell",6,2023-11-14
291,tt0878804,2023-11-14,2023-11-14,,"Um Sonho Possível","The Blind Side",https://www.imdb.com/title/tt0878804/,Filme,7.6,129,2009,"Biografia, Drama, Esportes",390188,2010-03-19,"John Lee Hancock",7,2023-11-14
292,tt0088847,2023-12-12,2023-12-12,,"Clube dos Cinco","The Breakfast Club",https://www.imdb.com/title/tt0088847/,Filme,7.8,97,1985,"Comédia, Drama",475705,1985-06-28,"John Hughes",8,2023-12-12
293,tt0069704,2023-12-12,2023-12-12,,"Loucuras de Verão","American Graffiti",https://www.imdb.com/title/tt0069704/,Filme,7.4,110,1973,"Comédia, Drama",106228,1973-11-22,"George Lucas",7,2023-12-12
294,tt0005945,2023-12-12,2023-12-12,,"Rags","Rags",https://www.imdb.com/title/tt0005945/,Filme,6.5,66,1915,"Drama",94,1915-08-02,"James Kirkwood",7,2023-12-12
295,tt10403420,2023-12-14,2023-12-14,,"Terrifier 2","Terrifier 2",https://www.imdb.com/title/tt10403420/,Filme,6.0,138,2022,"Terror",83933,2022-12-29,"Damien Leone",6,2023-12-14
296,tt0804497,2023-12-14,2023-12-14,,"Se Enlouquecer, Não se Apaixone","It's Kind of a Funny Story",https://www.imdb.com/title/tt0804497/,Filme,7.1,101,2010,"Comédia, Drama, Romance",152201,2011-01-28,"Anna Boden, Ryan Fleck",7,2023-12-14
297,tt0077975,2023-12-19,2023-12-19,,"Clube dos Cafajestes","National Lampoon's Animal House",https://www.imdb.com/title/tt0077975/,Filme,7.4,109,1978,"Comédia",136485,1978-10-06,"John Landis",9,2023-12-19
298,tt3450958,2023-12-19,2023-12-19,,"Planeta dos Macacos: A Guerra","War for the Planet of the Apes",https://www.imdb.com/title/tt3450958/,Filme,7.4,140,2017,"Ação, Aventura, Drama, Ficção científica, Suspense",329084,2017-08-03,"Matt Reeves",8,2023-12-19
299,tt2582496,2023-12-20,2023-12-20,,"Eu, Você e a Garota Que Vai Morrer","Me and Earl and the Dying Girl",https://www.imdb.com/title/tt2582496/,Filme,7.7,105,2015,"Comédia, Drama",145086,2015-11-05,"Alfonso Gomez-Rejon",9,2023-12-20
300,tt10640346,2024-01-08,2024-01-08,,"Babilônia","Babylon",https://www.imdb.com/title/tt10640346/,Filme,7.1,189,2022,"Comédia, Drama",208853,2023-01-19,"Damien Chazelle",10,2024-01-08
301,tt0338309,2024-01-18,2024-01-18,,"Evil - Raízes do Mal","Ondskan",https://www.imdb.com/title/tt0338309/,Filme,7.7,113,2003,"Drama",44967,2003-09-26,"Mikael Håfström",9,2024-01-18
302,tt0022913,2024-01-20,2024-01-20,,"Monstros","Freaks",https://www.imdb.com/title/tt0022913/,Filme,7.8,64,1932,"Drama, Terror",55158,1932-02-20,"Tod Browning",9,2024-01-20
303,tt2106476,2024-01-22,2024-01-22,,"A Caça","Jagten",https://www.imdb.com/title/tt2106476/,Filme,8.3,115,2012,"Drama",415263,2013-03-22,"Thomas Vinterberg",8,2024-01-22
304,tt15671028,2024-01-22,2024-01-22,,"Que Horas Eu Te Pego?","No Hard Feelings",https://www.imdb.com/title/tt15671028/,Filme,6.3,103,2023,"Comédia, Romance",220180,2023-06-15,"Gene Stupnitsky",6,2024-01-22
305,tt1631867,2024-01-22,2024-01-22,,"No Limite do Amanhã","Edge of Tomorrow",https://www.imdb.com/title/tt1631867/,Filme,7.9,113,2014,"Ação, Aventura, Ficção científica",811655,2014-05-29,"Doug Liman",7,2024-01-22
306,tt0230600,2024-01-23,2024-01-23,,"Os Outros","The Others",https://www.imdb.com/title/tt0230600/,Filme,7.6,101,2001,"Terror, Mistério, Suspense",430067,2001-11-01,"Alejandro Amenábar",9,2024-01-23
307,tt3170832,2024-01-23,2024-01-23,,"O Quarto de Jack","Room",https://www.imdb.com/title/tt3170832/,Filme,8.1,118,2015,"Drama, Suspense",483194,2016-02-18,"Lenny Abrahamson",8,2024-01-23
308,tt0364569,2024-01-24,2024-01-24,,"Oldboy","Oldeuboi",https://www.imdb.com/title/tt0364569/,Filme,8.3,120,2003,"Ação, Drama, Mistério, Suspense",727682,2024-03-23,"Park Chan-wook",6,2024-01-24
309,tt7984766,2024-01-25,2024-01-25,,"O Rei","The King",https://www.imdb.com/title/tt7984766/,Filme,7.3,140,2019,"Biografia, Drama, História, Guerra",181409,2019-11-01,"David Michôd",8,2024-01-25
310,tt11286314,2024-01-25,2024-01-25,,"Não Olhe para Cima","Don't Look Up",https://www.imdb.com/title/tt11286314/,Filme,7.1,138,2021,"Comédia, Drama, Ficção científica",677509,2021-12-24,"Adam McKay",8,2024-01-25
311,tt7395114,2024-01-25,2024-01-25,,"O Diabo de Cada Dia","The Devil All the Time",https://www.imdb.com/title/tt7395114/,Filme,7.1,138,2020,"Policial, Drama, Suspense",171938,2020-09-16,"Antonio Campos",7,2024-01-25
312,tt0332452,2024-01-25,2024-01-25,,"Troia","Troy",https://www.imdb.com/title/tt0332452/,Filme,7.3,163,2004,"Ação, Aventura",640541,2004-05-14,"Wolfgang Petersen",8,2024-01-25
313,tt5727208,2024-01-25,2024-01-25,,"Joias Brutas","Uncut Gems",https://www.imdb.com/title/tt5727208/,Filme,7.4,135,2019,"Policial, Drama, Suspense",360092,2020-01-31,"Benny Safdie, Josh Safdie",7,2024-01-25
314,tt8009428,2024-01-25,2024-01-25,,"Arremessando Alto","Hustle",https://www.imdb.com/title/tt8009428/,Filme,7.3,117,2022,"Comédia, Drama, Esportes",166346,2022-06-08,"Jeremiah Zagar",7,2024-01-25
315,tt2321549,2024-02-13,2024-02-13,,"O Babadook","The Babadook",https://www.imdb.com/title/tt2321549/,Filme,6.8,94,2014,"Drama, Terror, Mistério",271901,2014-05-22,"Jennifer Kent",4,2024-02-13
316,tt1228987,2024-02-22,2024-02-22,,"Deixe-me Entrar","Let Me In",https://www.imdb.com/title/tt1228987/,Filme,7.1,116,2010,"Drama, Fantasia, Terror, Mistério, Suspense",133774,2011-01-28,"Matt Reeves",8,2024-02-22
317,tt0454921,2024-02-22,2024-02-22,,"À Procura da Felicidade","The Pursuit of Happyness",https://www.imdb.com/title/tt0454921/,Filme,8.0,117,2006,"Biografia, Drama",627728,2007-02-02,"Gabriele Muccino",8,2024-02-22
318,tt3915174,2024-02-25,2024-02-25,,"Gato de Botas 2: O Último Pedido","Puss in Boots: The Last Wish",https://www.imdb.com/title/tt3915174/,Filme,7.9,102,2022,"Animação, Ação, Aventura, Comédia, Família, Fantasia, Faroeste",229400,2023-01-05,"Joel Crawford, Januel Mercado",9,2024-02-25
319,tt0448694,2024-02-25,2024-02-25,,"Gato de Botas","Puss in Boots",https://www.imdb.com/title/tt0448694/,Filme,6.6,90,2011,"Animação, Ação, Aventura, Comédia, Família, Fantasia",213604,2011-12-09,"Chris Miller",5,2024-02-25
320,tt0892791,2024-02-25,2024-02-25,,"Shrek Para Sempre","Shrek Forever After",https://www.imdb.com/title/tt0892791/,Filme,6.4,93,2010,"Animação, Aventura, Comédia, Família, Fantasia, Romance",248429,2010-07-09,"Mike Mitchell",6,2024-02-25
321,tt0413267,2024-02-25,2024-02-25,,"Shrek Terceiro","Shrek the Third",https://www.imdb.com/title/tt0413267/,Filme,6.1,93,2007,"Animação, Aventura, Comédia, Família, Fantasia, Romance",363693,2007-06-15,"Chris Miller, Raman Hui",7,2024-02-25
322,tt12593682,2024-02-25,2024-02-25,,"Trem-Bala","Bullet Train",https://www.imdb.com/title/tt12593682/,Filme,7.3,127,2022,"Ação, Comédia, Suspense",543869,2022-08-04,"David Leitch",8,2024-02-25
323,tt0318411,2024-02-29,2024-02-29,,"Em Nome de Deus","The Magdalene Sisters",https://www.imdb.com/title/tt0318411/,Filme,7.7,114,2002,"Drama",30169,2004-01-16,"Peter Mullan",7,2024-02-29
324,tt3235888,2024-03-03,2024-03-03,,"Corrente do Mal","It Follows",https://www.imdb.com/title/tt3235888/,Filme,6.8,100,2014,"Terror, Mistério, Suspense",302466,2015-08-27,"David Robert Mitchell",7,2024-03-03
325,tt0298203,2024-03-03,2024-03-03,,"8 Mile: Rua das Ilusões","8 Mile",https://www.imdb.com/title/tt0298203/,Filme,7.2,110,2002,"Drama, Musical",353997,2003-03-21,"Curtis Hanson",7,2024-03-03
326,tt0822832,2024-03-07,2024-03-07,,"Marley & Eu","Marley & Me",https://www.imdb.com/title/tt0822832/,Filme,7.0,111,2008,"Drama, Família",176480,2008-12-25,"David Frankel",7,2024-03-07
327,tt0151804,2024-03-07,2024-03-07,,"Como Enlouquecer seu Chefe","Office Space",https://www.imdb.com/title/tt0151804/,Filme,7.6,89,1999,"Comédia",310768,1999-04-30,"Mike Judge",8,2024-03-07
328,tt0320661,2024-03-07,2024-03-07,,"Cruzada","Kingdom of Heaven",https://www.imdb.com/title/tt0320661/,Filme,7.3,144,2005,"Ação, Aventura, Drama, História, Guerra",358923,2005-05-06,"Ridley Scott",6,2024-03-07
329,tt0116282,2024-03-08,2024-03-08,,"Fargo: Uma Comédia de Erros","Fargo",https://www.imdb.com/title/tt0116282/,Filme,8.1,98,1996,"Policial, Drama, Suspense",792602,1996-07-26,"Joel Coen, Ethan Coen",6,2024-03-08
330,tt0358273,2024-03-09,2024-03-09,,"Johnny & June","Walk the Line",https://www.imdb.com/title/tt0358273/,Filme,7.8,136,2005,"Biografia, Drama, Musical, Romance",281921,2006-02-10,"James Mangold",8,2024-03-09
331,tt3783958,2024-03-09,2024-03-09,,"La La Land: Cantando Estações","La La Land",https://www.imdb.com/title/tt3783958/,Filme,8.0,128,2016,"Comédia, Drama, Musical, Musical, Romance",772924,2017-01-19,"Damien Chazelle",9,2024-03-09
332,tt1723121,2024-03-09,2024-03-09,,"Família do Bagulho","We're the Millers",https://www.imdb.com/title/tt1723121/,Filme,7.0,110,2013,"Comédia, Policial",528582,2013-09-27,"Rawson Marshall Thurber",7,2024-03-09
333,tt1160419,2024-03-15,2024-03-15,,"Duna","Dune: Part One",https://www.imdb.com/title/tt1160419/,Filme,8.0,155,2021,"Ação, Aventura, Drama, Ficção científica",1082089,2021-10-21,"Denis Villeneuve",8,2024-03-15
334,tt0208092,2024-03-15,2024-03-15,,"Snatch - Porcos e Diamantes","Snatch",https://www.imdb.com/title/tt0208092/,Filme,8.2,104,2000,"Comédia, Policial",982259,2001-05-11,"Guy Ritchie",9,2024-03-15
335,tt13833688,2024-03-15,2024-03-15,,"A Baleia","The Whale",https://www.imdb.com/title/tt13833688/,Filme,7.6,117,2022,"Drama",308333,2023-02-23,"Darren Aronofsky",7,2024-05-30
336,tt0118971,2024-03-16,2024-03-16,,"Advogado do Diabo","The Devil's Advocate",https://www.imdb.com/title/tt0118971/,Filme,7.5,144,1997,"Drama, Fantasia, Mistério, Suspense",449922,1998-01-01,"Taylor Hackford",8,2024-03-16
337,tt17351924,2024-03-17,2024-03-17,,"Saltburn","Saltburn",https://www.imdb.com/title/tt17351924/,Filme,7.0,130,2023,"Drama, Suspense",269635,2023-12-22,"Emerald Fennell",6,2024-03-17
338,tt0790636,2024-03-17,2024-03-17,,"Clube de Compras Dallas","Dallas Buyers Club",https://www.imdb.com/title/tt0790636/,Filme,7.9,117,2013,"Biografia, Drama",551201,2013-11-22,"Jean-Marc Vallée",8,2024-03-17
339,tt0119116,2024-03-18,2024-03-18,,"O Quinto Elemento","Le cinquième élément",https://www.imdb.com/title/tt0119116/,Filme,7.6,126,1997,"Ação, Aventura, Ficção científica",549579,1997-05-23,"Luc Besson",6,2024-03-18
340,tt11097384,2024-03-18,2024-03-18,,"O Astronauta","Spaceman",https://www.imdb.com/title/tt11097384/,Filme,5.7,107,2024,"Aventura, Drama, Romance, Ficção científica",48297,2024-03-01,"Johan Renck",7,2024-03-18
341,tt0463998,2024-03-20,2024-03-20,,"Escritores da Liberdade","Freedom Writers",https://www.imdb.com/title/tt0463998/,Filme,7.6,123,2007,"Biografia, Policial, Drama",93349,2007-02-15,"Richard LaGravenese",7,2024-03-20
342,tt0000833,2024-03-20,2024-03-20,,"The Country Doctor","The Country Doctor",https://www.imdb.com/title/tt0000833/,Curta,6.4,14,1909,"Curta-Metragem, Drama",885,1909-07-08,"D.W. Griffith",8,2024-03-20
343,tt0000420,2024-03-20,2024-03-20,,"Alice no País das Maravilhas","Alice in Wonderland",https://www.imdb.com/title/tt0000420/,Curta,6.2,9,1903,"Curta-Metragem, Família, Fantasia",3213,1903-05,"Cecil M. Hepworth, Percy Stow",9,2024-02-15
344,tt0000628,2024-03-20,2024-03-20,,"As Aventuras de Dollie","Adventures of Dollie",https://www.imdb.com/title/tt0000628/,Curta,5.7,12,1908,"Curta-Metragem, Ação",1044,1908-07-14,"D.W. Griffith, G.W. Bitzer",8,2024-02-15
345,tt0002553,2024-03-20,2024-03-20,,"Um Inimigo Invisível","An Unseen Enemy",https://www.imdb.com/title/tt0002553/,Curta,6.4,17,1912,"Policial, Curta-Metragem, Suspense",1069,1912-09-09,"D.W. Griffith",7,2024-03-20
346,tt0970179,2024-03-21,2024-03-21,,"A Invenção de Hugo Cabret","Hugo",https://www.imdb.com/title/tt0970179/,Filme,7.5,126,2011,"Aventura, Drama, Família, Fantasia, Mistério",350744,2012-02-17,"Martin Scorsese",7,2024-03-21
347,tt0004707,2024-03-21,2024-03-21,,"Idilio Desfeito","Tillie's Punctured Romance",https://www.imdb.com/title/tt0004707/,Filme,6.2,82,1914,"Comédia",3932,1915-08-24,"Mack Sennett, Charles Bennett",6,2024-03-21
348,tt0208003,2024-03-22,2024-03-22,,"Vovó... Zona","Big Momma's House",https://www.imdb.com/title/tt0208003/,Filme,5.3,99,2000,"Ação, Comédia, Policial",96648,2000-06-09,"Raja Gosnell",6,2024-03-22
349,tt0003740,2024-04-09,2024-04-09,,"Cabiria","Cabiria",https://www.imdb.com/title/tt0003740/,Filme,7.1,148,1914,"Aventura, Drama, História, Guerra",4377,1914-04-18,"Giovanni Pastrone",7,2024-04-09
350,tt0002130,2024-04-09,2024-04-09,,"Inferno","L'inferno",https://www.imdb.com/title/tt0002130/,Filme,7.1,71,1911,"Aventura, Drama, Fantasia, Terror",4218,1911-03-01,"Francesco Bertolini, Adolfo Padovan, Giuseppe de Liguoro",6,2024-04-09
351,tt0816692,2024-04-26,2024-04-26,,"Interestelar","Interstellar",https://www.imdb.com/title/tt0816692/,Filme,8.7,169,2014,"Aventura, Drama, Ficção científica",2583532,2014-11-06,"Christopher Nolan",8,2024-04-26
352,tt15430628,2024-04-26,2024-04-26,,"Bons Companheiros","Long ma jing shen",https://www.imdb.com/title/tt15430628/,Filme,6.3,126,2023,"Ação, Comédia, Drama, Família",7816,2023-10-12,"Larry Yang",7,2024-04-26
353,tt1273678,2024-04-26,2024-04-26,,"Missão Quase Impossível","The Spy Next Door",https://www.imdb.com/title/tt1273678/,Filme,5.5,94,2010,"Ação, Comédia, Família",49988,2010-05-07,"Brian Levant",6,2024-04-26
354,tt0485976,2024-04-26,2024-04-26,,"Três Ladrões e um Bebê","Bo bui gai wak",https://www.imdb.com/title/tt0485976/,Filme,6.6,136,2006,"Ação, Aventura, Comédia, Policial, Drama, Família, Suspense",17182,2006-09-29,"Benny Chan",6,2024-04-26
355,tt15239678,2024-04-30,2024-04-30,,"Duna: Parte 2","Dune: Part Two",https://www.imdb.com/title/tt15239678/,Filme,8.4,166,2024,"Ação, Aventura, Drama, Ficção científica",783009,2024-02-29,"Denis Villeneuve",8,2024-04-30
356,tt3359350,2024-04-30,2024-04-30,,"Matador de Aluguel","Road House",https://www.imdb.com/title/tt3359350/,Filme,6.2,121,2024,"Ação, Drama, Suspense",189527,2024-03-21,"Doug Liman",6,2024-04-30
357,tt14230458,2024-04-30,2024-04-30,,"Pobres Criaturas","Poor Things",https://www.imdb.com/title/tt14230458/,Filme,7.7,141,2023,"Comédia, Drama, Romance, Ficção científica",419990,2024-02-01,"Yorgos Lanthimos",9,2024-07-30
358,tt21235248,2024-05-10,2024-05-10,,"Ghostbusters: Apocalipse de Gelo","Ghostbusters: Frozen Empire",https://www.imdb.com/title/tt21235248/,Filme,6.1,115,2024,"Ação, Aventura, Comédia, Fantasia, Ficção científica",107259,2024-04-11,"Gil Kenan",8,2024-05-10
359,tt0032138,2024-05-29,2024-05-29,,"O Mágico de Oz","The Wizard of Oz",https://www.imdb.com/title/tt0032138/,Filme,8.1,102,1939,"Aventura, Família, Fantasia, Musical",470947,1939-09-18,"Victor Fleming, George Cukor, Norman Taurog, Richard Thorpe, King Vidor",6,2024-05-29
360,tt4925292,2024-05-30,2024-05-30,,"Lady Bird: A Hora de Voar","Lady Bird",https://www.imdb.com/title/tt4925292/,Filme,7.4,94,2017,"Comédia, Drama",366993,2018-02-15,"Greta Gerwig",7,2024-05-30
361,tt0086250,2024-05-30,2024-05-30,,"Scarface","Scarface",https://www.imdb.com/title/tt0086250/,Filme,8.3,170,1983,"Policial, Drama",1028313,1984-05-17,"Brian De Palma",9,2024-05-30
362,tt1630029,2024-05-30,2024-05-30,,"Avatar: O Caminho da Água","Avatar: The Way of Water",https://www.imdb.com/title/tt1630029/,Filme,7.5,192,2022,"Ação, Aventura, Fantasia, Ficção científica",643557,2022-12-15,"James Cameron",6,2024-05-30
363,tt1139797,2024-05-30,2024-05-30,,"Deixa Ela Entrar","Låt den rätte komma in",https://www.imdb.com/title/tt1139797/,Filme,7.8,114,2008,"Drama, Fantasia, Terror, Romance",241155,2009-11-20,"Tomas Alfredson",7,2024-05-30
364,tt3799694,2024-06-01,2024-06-01,,"Dois Caras Legais","The Nice Guys",https://www.imdb.com/title/tt3799694/,Filme,7.4,116,2016,"Ação, Comédia, Policial, Mistério, Suspense",421906,2016-07-21,"Shane Black",7,2024-06-01
365,tt2179136,2024-07-01,2024-07-01,,"Sniper Americano","American Sniper",https://www.imdb.com/title/tt2179136/,Filme,7.3,133,2014,"Ação, Biografia, Drama, Guerra",573906,2015-02-19,"Clint Eastwood",7,2024-07-01
366,tt0057012,2024-07-04,2024-07-04,,"Dr. Fantástico","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",https://www.imdb.com/title/tt0057012/,Filme,8.3,95,1964,"Comédia, Guerra",553011,1964-07-20,"Stanley Kubrick",5,2024-07-04
367,tt4244994,2024-07-15,2024-07-15,,"O Último Duelo","The Last Duel",https://www.imdb.com/title/tt4244994/,Filme,7.3,152,2021,"Drama, História, Suspense",209035,2021-10-14,"Ridley Scott",7,2024-07-15
368,tt11389872,2024-07-23,2024-07-23,,"Planeta dos Macacos: O Reinado","Kingdom of the Planet of the Apes",https://www.imdb.com/title/tt11389872/,Filme,6.8,145,2024,"Ação, Aventura, Drama, Ficção científica, Suspense",171164,2024-05-23,"Wes Ball",9,2024-07-23
369,tt12037194,2024-07-23,2024-07-23,,"Furiosa: Uma Saga Mad Max","Furiosa: A Mad Max Saga",https://www.imdb.com/title/tt12037194/,Filme,7.4,148,2024,"Ação, Aventura, Ficção científica",325211,2024-05-23,"George Miller",8,2024-07-23
370,tt1745960,2024-07-23,2024-07-23,,"Top Gun: Maverick","Top Gun: Maverick",https://www.imdb.com/title/tt1745960/,Filme,8.2,130,2022,"Ação, Drama",897814,2022-05-26,"Joseph Kosinski",8,2024-07-23
371,tt1684562,2024-07-23,2024-07-23,,"O Dublê","The Fall Guy",https://www.imdb.com/title/tt1684562/,Filme,6.8,126,2024,"Ação, Comédia, Drama, Romance",271355,2024-05-02,"David Leitch",8,2024-07-23
372,tt23289160,2024-07-23,2024-07-23,,"Godzilla Minus One","Gojira Mainasu Wan",https://www.imdb.com/title/tt23289160/,Filme,7.6,124,2023,"Ação, Aventura, Drama, Terror, Ficção científica",229046,2023-12-14,"Takashi Yamazaki",7,2024-07-23
373,tt9362722,2024-07-23,2024-07-23,,"Homem-Aranha: Através do Aranhaverso","Spider-Man: Across the Spider-Verse",https://www.imdb.com/title/tt9362722/,Filme,8.5,140,2023,"Animação, Ação, Aventura, Família, Fantasia, Ficção científica",542993,2023-06-01,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson",9,2024-07-23
374,tt15398776,2024-07-23,2024-07-23,,"Oppenheimer","Oppenheimer",https://www.imdb.com/title/tt15398776/,Filme,8.2,180,2023,"Biografia, Drama, História",1081685,2023-07-20,"Christopher Nolan",9,2024-07-23
375,tt1041829,2024-07-28,2024-07-28,,"A Proposta","The Proposal",https://www.imdb.com/title/tt1041829/,Filme,6.8,108,2009,"Comédia, Drama, Romance",401476,2009-07-10,"Anne Fletcher",8,2024-07-28
376,tt0343660,2024-07-28,2024-07-28,,"Como Se Fosse a Primeira Vez","50 First Dates",https://www.imdb.com/title/tt0343660/,Filme,6.8,99,2004,"Comédia, Drama, Romance",418896,2004-04-30,"Peter Segal",8,2024-07-28
377,tt10682266,2024-07-28,2024-07-28,,"O Halloween do Hubie","Hubie Halloween",https://www.imdb.com/title/tt10682266/,Filme,5.3,103,2020,"Comédia, Terror, Mistério",69092,2020-10-07,"Steven Brill",5,2024-07-28
378,tt1618434,2024-07-28,2024-07-28,,"Mistério no Mediterrâneo","Murder Mystery",https://www.imdb.com/title/tt1618434/,Filme,6.1,97,2019,"Policial, Mistério, Romance",192317,2019-06-14,"Kyle Newacheck",5,2024-07-28
379,tt6821012,2024-07-28,2024-07-28,,"Lá Vêm os Pais","The Week Of",https://www.imdb.com/title/tt6821012/,Filme,5.3,116,2018,"Comédia",26966,2018-04-27,"Robert Smigel",6,2024-07-28
380,tt5536736,2024-07-28,2024-07-28,,"Os Meyerowitz: Família Não Se Escolhe","The Meyerowitz Stories (New and Selected)",https://www.imdb.com/title/tt5536736/,Filme,6.9,112,2017,"Comédia, Drama",56979,2017-10-13,"Noah Baumbach",6,2024-07-28
381,tt4769836,2024-07-28,2024-07-28,,"Zerando a Vida","The Do-Over",https://www.imdb.com/title/tt4769836/,Filme,5.7,108,2016,"Ação, Aventura, Comédia, Mistério",57699,2016-05-27,"Steven Brill",6,2024-07-28
382,tt2479478,2024-07-28,2024-07-28,,"Os 6 Ridículos","The Ridiculous 6",https://www.imdb.com/title/tt2479478/,Filme,4.9,119,2015,"Ação, Aventura, Comédia, Faroeste",59179,2015-12-11,"Frank Coraci",7,2024-07-28
383,tt2120120,2024-07-28,2024-07-28,,"Pixels","Pixels",https://www.imdb.com/title/tt2120120/,Filme,5.6,105,2015,"Ação, Aventura, Comédia, Fantasia, Ficção científica, Suspense",182196,2015-04-17,"Chris Columbus",6,2024-07-28
384,tt1086772,2024-07-28,2024-07-28,,"Juntos e Misturados","Blended",https://www.imdb.com/title/tt1086772/,Filme,6.5,117,2014,"Comédia, Romance",159673,2014-07-17,"Frank Coraci",8,2024-07-28
385,tt2191701,2024-07-28,2024-07-28,,"Gente Grande 2","Grown Ups 2",https://www.imdb.com/title/tt2191701/,Filme,5.4,101,2013,"Comédia",193593,2013-08-16,"Dennis Dugan",8,2024-07-28
386,tt1232200,2024-07-28,2024-07-28,,"Este é o Meu Garoto","That's My Boy",https://www.imdb.com/title/tt1232200/,Filme,5.6,116,2012,"Comédia, Drama",123074,2012-08-17,"Sean Anders",7,2024-07-28
387,tt0810913,2024-07-28,2024-07-28,,"Cada Um tem a Gêmea que Merece","Jack and Jill",https://www.imdb.com/title/tt0810913/,Filme,3.3,91,2011,"Comédia, Família",96710,2012-02-10,"Dennis Dugan",4,2024-07-28
388,tt1564367,2024-07-28,2024-07-28,,"Esposa de Mentirinha","Just Go with It",https://www.imdb.com/title/tt1564367/,Filme,6.4,117,2011,"Comédia, Romance",292956,2011-03-04,"Dennis Dugan",8,2024-07-28
389,tt1375670,2024-07-28,2024-07-28,,"Gente Grande","Grown Ups",https://www.imdb.com/title/tt1375670/,Filme,6.0,102,2010,"Comédia",317220,2010-09-24,"Dennis Dugan",9,2024-07-28
390,tt0762107,2024-07-28,2024-07-28,,"Eu os Declaro Marido... e Larry","I Now Pronounce You Chuck & Larry",https://www.imdb.com/title/tt0762107/,Filme,5.9,115,2007,"Comédia, Romance",161778,2007-09-07,"Dennis Dugan",7,2024-07-28
391,tt0389860,2024-07-28,2024-07-28,,"Click","Click",https://www.imdb.com/title/tt0389860/,Filme,6.5,107,2006,"Comédia, Drama, Fantasia, Romance",390998,2006-08-11,"Frank Coraci",8,2024-07-28
392,tt0142342,2024-07-28,2024-07-28,,"O Paizão","Big Daddy",https://www.imdb.com/title/tt0142342/,Filme,6.5,93,1999,"Comédia, Drama",253332,1999-10-08,"Dennis Dugan",8,2024-07-28
393,tt0116483,2024-07-28,2024-07-28,,"Um Maluco no Golfe","Happy Gilmore",https://www.imdb.com/title/tt0116483/,Filme,7.0,92,1996,"Comédia, Esportes",310828,1996-05-17,"Dennis Dugan",8,2024-07-28
394,tt14225838,2024-07-28,2024-07-28,,"Eu, Capitão","Io capitano",https://www.imdb.com/title/tt14225838/,Filme,7.6,121,2023,"Aventura, Drama",18154,2024-02-29,"Matteo Garrone",8,2024-07-28
395,tt26612950,2024-07-28,2024-07-28,,"A Sala dos Professores","Das Lehrerzimmer",https://www.imdb.com/title/tt26612950/,Filme,7.4,98,2023,"Drama, Suspense",31195,2023-05-04,"Ilker Çatak",7,2024-07-28
396,tt10288566,2024-07-28,2024-07-28,,"Druk: Mais uma Rodada","Druk",https://www.imdb.com/title/tt10288566/,Filme,7.7,117,2020,"Comédia, Drama",229345,2021-03-25,"Thomas Vinterberg",8,2024-07-28
397,tt5363618,2024-07-28,2024-07-28,,"O Som do Silêncio","Sound of Metal",https://www.imdb.com/title/tt5363618/,Filme,7.7,120,2019,"Drama, Musical",187960,2020-12-04,"Darius Marder",6,2024-07-28
398,tt21064584,2024-07-30,2024-07-30,,"Garra de Ferro","The Iron Claw",https://www.imdb.com/title/tt21064584/,Filme,7.5,132,2023,"Biografia, Drama, Esportes",120997,2024-03-07,"Sean Durkin",8,2024-07-30
399,tt16277242,2024-07-30,2024-07-30,,"A Sociedade da Neve","La sociedad de la nieve",https://www.imdb.com/title/tt16277242/,Filme,7.8,144,2023,"Aventura, Biografia, Drama, História, Suspense",176429,2024-01-04,"J.A. Bayona",8,2024-07-30
400,tt9603212,2024-08-07,2024-08-07,,"Missão: Impossível - Acerto de Contas Parte Um","Mission: Impossible - Dead Reckoning Part One",https://www.imdb.com/title/tt9603212/,Filme,7.6,163,2023,"Ação, Aventura, Suspense",331078,2023-07-12,"Christopher McQuarrie",8,2024-08-07
401,tt0120586,2024-08-11,2024-08-11,,"A Outra História Americana","American History X",https://www.imdb.com/title/tt0120586/,Filme,8.5,119,1998,"Policial, Drama",1281772,1999-04-16,"Tony Kaye",10,2024-08-11
402,tt0300140,2024-08-18,2024-08-18,,"Para Sempre Lilya","Lilja 4-ever",https://www.imdb.com/title/tt0300140/,Filme,7.8,109,2002,"Policial, Drama",56189,2002-08-23,"Lukas Moodysson",9,2024-08-18
